"828","CÁDIZ","ANDALUCÍA","JEREZ DE LA FRONTERA","JEREZ DE LA FRONTERA","11408","CALLE JARDINERIA, 1","I","","1.337","ECONOIL","Low Cost"
"828","GRANADA","ANDALUCÍA","GRANADA","GRANADA","18015","AVENIDA ANDALUCIA, S/N","N","","1.339","TAMOIL","Low Cost"
"828","SEVILLA","ANDALUCÍA","CAMAS","CAMAS","41900","CALLE C/ POETA MUÑOZ SAN ROMÁN, ","N","","1.419","CARREFOUR","Low Cost"
"828","CÁDIZ","ANDALUCÍA","ALGECIRAS","ALGECIRAS","11206","AVENIDA DE LA UNION, 21","I","","1.329","LA CALLE DEL MOTOR","Low Cost"
"828","HUELVA","ANDALUCÍA","ALMONTE","ALMONTE","21730","AVENIDA DE LOS CABEZUDOS, 1","D","","1.405","E.S PUERTA DOÑANA 2","Low Cost"
"828","GRANADA","ANDALUCÍA","ATARFE","ATARFE","18230","CARRETERA N-432 KM. 429","D","","1.298","ASC CARBURANTES","Low Cost"
"828","HUELVA","ANDALUCÍA","HUELVA","HUELVA","21001","CALLE JOSE MANUEL CARRION, S/N","D","","1.429","TYCSA AQUALON","Low Cost"
"828","SEVILLA","ANDALUCÍA","CARMONA","CARMONA","41410","CARRETERA S-206 KM. 6,9","I","","1.329","FRAMA ESTACIONES","Low Cost"
"828","SEVILLA","ANDALUCÍA","CARMONA","CARMONA","41410","POLIGONO POLIGONO INDUSTRIAL BRENES-CALLE D-PARCELA 19, 19","N","","1.339","SARAS ENERGIA","Low Cost"
"828","HUELVA","ANDALUCÍA","AYAMONTE","AYAMONTE","21400","AUTOVIA E-1/A-49 KM. 130","I","","1.449","Q8","Low Cost"
"828","CÁDIZ","ANDALUCÍA","PUERTO DE SANTA MARÍA (EL)","PUERTO DE SANTA MARIA (EL)","11500","CALLE ALFRED NOBEL, 9","D","","1.339","CLC CALIDAD LOW COST","Low Cost"
"828","JAÉN","ANDALUCÍA","HUESA","HUESA","23487","CARRETERA QUESADA KM. 1,5","D","","1.389","EE SS HNOS. MORENO PADILLA","Low Cost"
"828","MÁLAGA","ANDALUCÍA","MÁLAGA","MALAGA","29004","CARRETERA CADIZ KM. 241","N","","1.439","CARREFOUR","Low Cost"
"828","GRANADA","ANDALUCÍA","ALBOLOTE","ALBOLOTE","18220","CARRETERA ATARFE-ALBOLOTE KM. 4","D","","1.298","FUELING","Low Cost"
"828","CÁDIZ","ANDALUCÍA","CHICLANA DE LA FRONTERA","CHICLANA DE LA FRONTERA","11139","CAMINO AGUILA REAL, 22","D","","1.319","BALLENOIL","Low Cost"
"828","ALMERÍA","ANDALUCÍA","EJIDO (EL)","SANTA MARIA DEL AGUILA","04710","CARRETERA N 340 KM. 413","D","","1.399","TRUCK STOP DEL PONIENTE ","Low Cost"
"828","GRANADA","ANDALUCÍA","MOTRIL","MOTRIL","18600","CARRETERA ALMERIA-MOTRIL KM. 50","N","","1.205","SMART OIL ","Low Cost"
"828","SEVILLA","ANDALUCÍA","CUERVO DE SEVILLA (EL)","CUERVO DE SEVILLA (EL)","41749","CARRETERA NACIONAL IV KM. 613,8","D","","1.345","ECONOIL","Low Cost"
"828","SEVILLA","ANDALUCÍA","BOLLULLOS DE LA MITACIÓN","BOLLULLOS DE LA MITACION","41110","CARRETERA BOLLULLOS UMBRETE KM. 2,500","D","","1.409","BIOCOMBUSTIBLES ALJARAFE S.L.","Low Cost"
"828","CÓRDOBA","ANDALUCÍA","CÓRDOBA","CORDOBA","14014","CALLE LOS ARTESANOS, 7","D","","1.329","PETROL & GO","Low Cost"
"828","CÓRDOBA","ANDALUCÍA","LUCENA","ANJARON","14900","AVENIDA MIGUEL CUENCA VALDIVIA, 16","N","","1.399","Q8","Low Cost"
"828","ALMERÍA","ANDALUCÍA","HUÉRCAL-OVERA","HUERCAL-OVERA","04600","CARRERA A-327, 32","D","","1.319","OIL BAROL","Low Cost"
"828","ALMERÍA","ANDALUCÍA","VERA","VERA","04620","CALLE CARRETERA DE CUEVAS, 1","D","","1.297","PLENOIL","Low Cost"
"828","ALMERÍA","ANDALUCÍA","EJIDO (EL)","SANTA MARIA DEL AGUILA","04710","CARRETERA IRYDA POLIG. IND. LA REDONDA KM. S/N","D","","1.399","PARKING LA REDONDA","Low Cost"
"828","JAÉN","ANDALUCÍA","JIMENA","JIMENA","23530","CARRETERA A320 KM. 22,5","D","","1.429","E.S. CANAVA","Low Cost"
"828","MÁLAGA","ANDALUCÍA","ALHAURÍN DE LA TORRE","ALHAURIN DE LA TORRE","29130","AVENIDA LAS AMERICAS, S/N","D","","1.337","LAS AMÉRICAS","Low Cost"
"828","ALMERÍA","ANDALUCÍA","VÉLEZ-RUBIO","VELEZ-RUBIO","04820","AV ANDALUCIA 41","I","","1.365","(SIN RÓTULO)","Low Cost"
"828","ALMERÍA","ANDALUCÍA","ALMERÍA","ALMERIA","04001","CARRETERA NIJAR LOS MOLINOS KM. 396","D","","1.299","PLENOIL ","Low Cost"
"828","SEVILLA","ANDALUCÍA","RINCONADA (LA)","SAN JOSE DE LA RINCONADA","41300","CARRETERA CTRA. SE-111 , A-8005 , 14 KM. 10,8","N","","1.319","EMC RED POWER 24","Low Cost"
"828","JAÉN","ANDALUCÍA","MARMOLEJO","MARMOLEJO","23770","CARRETERA N-IV KM. 339","N","","1.329","TAMOIL","Low Cost"
"828","JAÉN","ANDALUCÍA","CASTILLO DE LOCUBÍN","CASTILLO DE LOCUBIN","23670","CARRETERA JAEN-ALCALA LA REAL KM. 53","D","","1.359","AGLA","Low Cost"
"828","JAÉN","ANDALUCÍA","ALCALÁ LA REAL","ALCALA LA REAL","23680","CARRETERA DE JAEN KM. 8","I","","1.389","Q8","Low Cost"
"828","MÁLAGA","ANDALUCÍA","COÍN","COIN","29100","AVENIDA REINA SOFIA, S/N","D","","1.329","BALLENOIL","Low Cost"
"828","GRANADA","ANDALUCÍA","FUENTE VAQUEROS","FUENTE VAQUEROS","18340","AVENIDA SIERRA ELVIRA, PG.IND. LA FUENTE, 1","D","","1.309","ASC CARBURANTES","Low Cost"
"828","SEVILLA","ANDALUCÍA","FUENTES DE ANDALUCÍA","FUENTES DE ANDALUCIA","41420","CALLE MAESTRO JUAN RUIZ, 1","D","","1.319","AGLA","Low Cost"
"828","JAÉN","ANDALUCÍA","GUARROMÁN","GUARROMAN","23210","N-LV SALIDA 288, km 288","D","","1.429","ANDAMUR ""GUARROMAN""","Low Cost"
"828","SEVILLA","ANDALUCÍA","ÉCIJA","ECIJA","41400","CARRETERA CTRA. MADRID-CADIZ KM. 456,400","I","","1.349","SANTIAGO","Low Cost"
"828","CÓRDOBA","ANDALUCÍA","CÓRDOBA","VILLARRUBIA","14710","CARRETERA PALMA DEL RIO KM. 12,5","N","","1.369","E.S. LAS CUEVAS","Low Cost"
"828","CÁDIZ","ANDALUCÍA","SAN FERNANDO","SAN FERNANDO","11100","CALLE FERROCARRIL 39 B, 39","N","","1.379","CARREFOUR","Low Cost"
"828","JAÉN","ANDALUCÍA","QUESADA","QUESADA","23480","CALLE FONTANEROS (POL.IND.), S/N","I","","1.372","ESFER-OIL","Low Cost"
"828","CÓRDOBA","ANDALUCÍA","CÓRDOBA","CORDOBA","14010","AVENIDA LONJAS, S/N","N","","1.329","ENERPLUS","Low Cost"
"828","JAÉN","ANDALUCÍA","CAMPILLO DE ARENAS","CAMPILLO DE ARENAS","23130","CARRETERA A-44 KM. 74,1","N","","1.359","S.C.A. NTRA. SRA. DE LA CABEZA","Low Cost"
"828","GRANADA","ANDALUCÍA","VILLANUEVA DE LAS TORRES","VILLANUEVA DE LAS TORRES","18539","CARRETERA DE GORAFE km 105","D","","1.399","E.S JESMAR","Low Cost"
"828","MÁLAGA","ANDALUCÍA","ALFARNATE","ALFARNATE","29194","EJIDILLO Nº 25","D","","1.343","S.C.A. NTRA. SRA. DE MONSALUD","Low Cost"
"828","ALMERÍA","ANDALUCÍA","NÍJAR","CAMPOHERMOSO","04110","CALLE VILLA MARIA SURTIDOR, S/N","N","","1.289","PETROPRIX","Low Cost"
"828","SEVILLA","ANDALUCÍA","AZNALCÁZAR","AZNALCAZAR","41849","CARRETERA A-473 KM. 1","N","","1.359","AGLA AZNALCAZAR","Low Cost"
"828","MÁLAGA","ANDALUCÍA","BENALMÁDENA","ARROYO DE LA MIEL-BENALMADENA COSTA","29630","CALLE SANTO TOMAS URBANIZ. LA LEALA PARCELA 3 Y 4, 3","D","","1.329","BALLENOIL","Low Cost"
"828","SEVILLA","ANDALUCÍA","RINCONADA (LA)","SAN JOSE DE LA RINCONADA","41300","CALLE MIGUEL SERVET, 2","D","","1.297","BALLENOIL","Low Cost"
